,year,total_births,male_births,female_births,crude_birth_rate,sex_ratio_at_birth,total_fertility_rate
106,2008,1091156,559513,531643,8.7,105.2,1.37
107,2009,1070036,548994,521042,8.5,105.4,1.37
108,2010,1071305,550743,520562,8.5,105.8,1.39
109,2011,1050807,538271,512536,8.3,105.0,1.39
110,2012,1037232,531781,505451,8.2,105.2,1.41
111,2013,1029817,527657,502160,8.2,105.1,1.43
112,2014,1003609,515572,488037,8.0,105.6,1.42
113,2015,1005721,515468,490253,8.0,105.1,1.45
114,2016,977242,502012,475230,7.8,105.6,1.44
115,2017,946146,484478,461668,7.6,104.9,1.43
116,2018,918400,470851,447549,7.4,105.2,1.42
117,2019,865239,443430,421809,7.0,105.1,1.36
118,2020,840835,430713,410122,6.8,105.0,1.33
119,2021,811622,415903,395719,6.6,105.1,1.3
120,2022,770759,395257,375502,6.3,105.3,1.26
121,2023,727288,372603,354685,6.0,105.1,1.2
